Pre-trained Model,Task,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI_AI5_AI10_F1,GI_AI5_AI10_P,GI_AI5_AI10_R,GI_AI5_AI10_AP50
YOLOv8x-seg,Detection,0.79,0.8,0.79,0.83,0.82,0.85,0.8,0.83,0.75,0.76,0.74,0.79,0.79,0.85,0.74,0.83
YOLOv8x-seg,Segmentation,0.77,0.77,0.76,0.81,0.7,0.73,0.67,0.64,0.72,0.72,0.71,0.75,0.76,0.83,0.7,0.77
YOLOv11x-seg,Detection,0.63,0.73,0.55,0.7,0.75,0.83,0.68,0.79,0.67,0.75,0.6,0.74,0.8,0.85,0.76,0.82
YOLOv11x-seg,Segmentation,0.63,0.73,0.55,0.65,0.61,0.69,0.55,0.55,0.68,0.76,0.61,0.74,0.74,0.79,0.69,0.73
,,,,,,,,,,,,,,,,,
yolo8x-yolo11x detection,,0.16,0.07,0.24,0.13,0.07,0.02,0.12,0.04,0.08,0.01,0.14,0.05,-0.01,0,-0.02,0.01
yolo8x-yolo11x segmentation,,0.14,0.04,0.21,0.16,0.09,0.04,0.12,0.09,0.04,-0.04,0.1,0.01,0.02,0.04,0.01,0.04
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
pretrained_model,trained_on,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI_AI5_AI10_F1,GI_AI5_AI10_P,GI_AI5_AI10_R,GI_AI5_AI10_AP50
YOLOv8x-seg,Detection,0.76,0.85,0.7,0.82,0.76,0.8,0.73,0.79,0.75,0.76,0.73,0.77,0.81,0.88,0.75,0.79
YOLOv11x-seg,Segmentation,0.73,0.76,0.7,0.75,0.68,0.67,0.7,0.63,0.71,0.77,0.67,0.72,0.73,0.76,0.7,0.7
YOLOv8x-seg,Detection,0.79,0.83,0.74,0.83,0.81,0.83,0.8,0.84,0.81,0.81,0.81,0.84,0.8,0.85,0.76,0.83
YOLOv11x-seg,Segmentation,0.75,0.83,0.69,0.78,0.69,0.7,0.69,0.69,0.79,0.79,0.79,0.82,0.75,0.79,0.71,0.74
,,,,,,,,,,,,,,,,,
yolo8x-yolo11x detection,,-0.03,0.02,-0.04,-0.01,-0.05,-0.03,-0.07,-0.05,-0.06,-0.05,-0.08,-0.07,0.01,0.03,-0.01,-0.04
yolo8x-yolo11x segmentation,,-0.02,-0.07,0.01,-0.03,-0.01,-0.03,0.01,-0.06,-0.08,-0.02,-0.12,-0.1,-0.02,-0.03,-0.01,-0.04
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Pre-trained Model,Task,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI_AI5_AI10_F1,GI_AI5_AI10_P,GI_AI5_AI10_R,GI_AI5_AI10_AP50
YOLOv8x-seg(reproduction)-YOLOv8x-seg(originalpaper),Detection,0.03,-0.05,0.09,0.01,0.06,0.05,0.07,0.04,0,0,0.01,0.02,-0.02,-0.03,-0.01,0.04
YOLOv8x-seg(reproduction)-YOLOv8x-seg(originalpaper),Segmentation,0.04,0.01,0.06,0.06,0.02,0.06,-0.03,0.01,0.01,-0.05,0.04,0.03,0.03,0.07,0,0.07
YOLOv11x-seg(reproduction)-YOLOv11x-seg(originalpaper),Detection,-0.16,-0.1,-0.19,-0.13,-0.06,0,-0.12,-0.05,-0.14,-0.06,-0.21,-0.1,0,0,0,-0.01
YOLOv11x-seg(reproduction)-YOLOv11x-seg(originalpaper),Segmentation,-0.12,-0.1,-0.14,-0.13,-0.08,-0.01,-0.14,-0.14,-0.11,-0.03,-0.18,-0.08,-0.01,0,-0.02,-0.01
