run,model,dataset,seed,epochs_completed,best_epoch,det_F1,det_P,det_R,det_AP50,seg_F1,seg_P,seg_R,seg_AP50
yolo11x_AI10,yolo11x,AI10,0,21,1,0.6673135986666666,0.74703,0.60297,0.73793,0.6789002795899347,0.76,0.61344,0.74424
yolo11x_AI10_seed17,yolo11x,AI10,17,81,61,0.763366543618888,0.77863,0.74869,0.82217,0.7591209940373554,0.78124,0.73822,0.78729
yolo11x_AI10_seed37,yolo11x,AI10,37,150,130,0.7529080594320903,0.77395,0.73298,0.79046,0.7512765895350152,0.77051,0.73298,0.79118
yolo11x_AI10_seed42,yolo11x,AI10,42,56,36,0.7589705965516789,0.79299,0.72775,0.82017,0.7480507884659008,0.78158,0.71728,0.80619
yolo11x_AI10_seed7,yolo11x,AI10,7,90,59,0.7696772492449583,0.78049,0.75916,0.80293,0.7555840094735937,0.76811,0.74346,0.78896
yolo11x_AI5,yolo11x,AI5,0,21,1,0.7471421608276355,0.83441,0.6764,0.79103,0.6108381478546361,0.68628,0.55034,0.54559
yolo11x_AI5_seed17,yolo11x,AI5,17,21,1,0.7262137649820833,0.768,0.68874,0.74265,0.5436780977887022,0.57353,0.51678,0.45339
yolo11x_AI5_seed37,yolo11x,AI5,37,21,1,0.7550915399056066,0.78799,0.72483,0.77702,0.5985484772344296,0.62156,0.57718,0.49225
yolo11x_AI5_seed42,yolo11x,AI5,42,21,1,0.7214807216380742,0.69192,0.75368,0.76114,0.5691212809826717,0.54915,0.5906,0.54251
yolo11x_AI5_seed7,yolo11x,AI5,7,21,1,0.7038600789301837,0.72428,0.68456,0.7337,0.5630358600382004,0.60231,0.52857,0.48746
yolo11x_GI,yolo11x,GI,0,21,1,0.632088989736787,0.7341,0.55497,0.69814,0.632088989736787,0.7341,0.55497,0.64963
yolo11x_GI_AI5_AI10,yolo11x,GI_AI5_AI10,0,98,78,0.8031654875505796,0.85049,0.76083,0.82193,0.7361576574542308,0.78989,0.68927,0.72766
yolo11x_GI_AI5_AI10_seed17,yolo11x,GI_AI5_AI10,17,117,97,0.7886401174071634,0.81651,0.76261,0.81591,0.7475815428598147,0.7754,0.72169,0.7535
yolo11x_GI_AI5_AI10_seed37,yolo11x,GI_AI5_AI10,37,117,97,0.802726516057503,0.79945,0.80603,0.83612,0.7499101365355271,0.80674,0.70056,0.7548
yolo11x_GI_AI5_AI10_seed42,yolo11x,GI_AI5_AI10,42,89,69,0.7972650208127602,0.84668,0.7533,0.82307,0.7477932846034422,0.79458,0.70621,0.75183
yolo11x_GI_AI5_AI10_seed7,yolo11x,GI_AI5_AI10,7,102,82,0.7920215797467716,0.82588,0.76083,0.81731,0.7417155589848646,0.75571,0.72823,0.73237
yolo11x_GI_seed17,yolo11x,GI,17,117,97,0.7540807509962397,0.80021,0.71298,0.80917,0.721536928709294,0.79618,0.65969,0.7562
yolo11x_GI_seed37,yolo11x,GI,37,21,1,0.6860381955325585,0.68105,0.6911,0.7248,0.6287030541307823,0.63447,0.62304,0.64547
yolo11x_GI_seed42,yolo11x,GI,42,113,93,0.7760127679736054,0.85029,0.71367,0.81712,0.7619998844313438,0.84911,0.6911,0.7916
yolo11x_GI_seed7,yolo11x,GI,7,88,68,0.7601227119558068,0.77191,0.74869,0.81266,0.7203463628415603,0.73384,0.70734,0.75483
yolo8x_AI10,yolo8x,AI10,0,22,2,0.7498295076765131,0.76181,0.73822,0.78829,0.7169755501317974,0.72198,0.71204,0.74614
yolo8x_AI10_seed42,yolo8x,AI10,42,73,53,0.7732699095378818,0.81056,0.73926,0.81731,0.7732057435950439,0.79896,0.74906,0.80779
yolo8x_AI5,yolo8x,AI5,0,143,123,0.8234179658096845,0.84976,0.79866,0.8341,0.7011502669541886,0.73397,0.67114,0.64134
yolo8x_AI5_seed42,yolo8x,AI5,42,64,44,0.8318970826247123,0.84192,0.82211,0.86836,0.7150239022992523,0.73291,0.69799,0.65515
yolo8x_GI,yolo8x,GI,0,159,139,0.7923027173083113,0.79939,0.78534,0.8349,0.765771907603515,0.7725,0.75916,0.80618
yolo8x_GI_AI5_AI10,yolo8x,GI_AI5_AI10,0,66,46,0.7893307141596714,0.85006,0.7367,0.82604,0.7582230546440571,0.82623,0.70056,0.76659
yolo8x_GI_AI5_AI10_seed42,yolo8x,GI_AI5_AI10,42,28,31,0.7879780667000527,0.81351,0.764,0.82243,0.7400466728607015,0.78662,0.69868,0.74376
yolo8x_GI_seed42,yolo8x,GI,42,113,93,0.7852320979696658,0.75413,0.81901,0.83533,0.7571802333295962,0.73097,0.78534,0.79201
yolov8x_AI10_seed17,yolov8x,AI10,17,22,2,0.7536560834698629,0.74321,0.7644,0.7907,0.7232269292394466,0.71373,0.73298,0.74871
yolov8x_AI10_seed37,yolov8x,AI10,37,97,77,0.7869621367973215,0.87164,0.71728,0.83055,0.7578708992714582,0.8633,0.67539,0.80011
yolov8x_AI10_seed7,yolov8x,AI10,7,90,70,0.7819889890097244,0.78924,0.77487,0.81844,0.7764844564965645,0.80043,0.75393,0.80299
yolov8x_AI5_seed17,yolov8x,AI5,17,103,96,0.8069377590577927,0.88015,0.74497,0.81776,0.6908151552830746,0.75375,0.63758,0.6508
yolov8x_AI5_seed37,yolov8x,AI5,37,90,70,0.8003593449808849,0.84934,0.75672,0.82611,0.707783489189132,0.75129,0.66904,0.67409
yolov8x_AI5_seed7,yolov8x,AI5,7,21,19,0.7709882222006786,0.72846,0.81879,0.76818,0.684337936933058,0.66163,0.70866,0.62841
yolov8x_GI_AI5_AI10_seed17,yolov8x,GI_AI5_AI10,17,96,76,0.7857766267573582,0.85499,0.72693,0.81372,0.7185188612434237,0.78171,0.66478,0.72857
yolov8x_GI_AI5_AI10_seed37,yolov8x,GI_AI5_AI10,37,65,45,0.7939136260156466,0.82525,0.76487,0.82809,0.7339180277454602,0.76169,0.7081,0.73036
yolov8x_GI_AI5_AI10_seed7,yolov8x,GI_AI5_AI10,7,89,69,0.7915445053491097,0.83388,0.7533,0.8171,0.7245065986605268,0.76354,0.68927,0.71931
yolov8x_GI_seed17,yolov8x,GI,17,125,105,0.7973913481657398,0.84617,0.75393,0.84561,0.7521910831470159,0.82513,0.6911,0.7894
yolov8x_GI_seed37,yolov8x,GI,37,128,108,0.7692651975283826,0.80933,0.73298,0.8271,0.7613206307122167,0.89408,0.66289,0.79003
yolov8x_GI_seed7,yolov8x,GI,7,125,105,0.7620377221817609,0.75969,0.7644,0.80958,0.7370321246931496,0.75215,0.72251,0.76689
