model,dataset,det_F1_mean,det_F1_std,det_AP50_mean,det_AP50_std,seg_F1_mean,seg_F1_std,seg_AP50_mean,seg_AP50_std,epochs_completed_mean,epochs_completed_min,epochs_completed_max,best_epoch_mean,best_epoch_min,best_epoch_max
yolo11x,AI10,0.742,0.042,0.795,0.034,0.739,0.034,0.784,0.023,79.6,21,150,57.4,1,130
yolo11x,AI5,0.731,0.021,0.761,0.024,0.577,0.027,0.504,0.039,21.0,21,21,1.0,1,1
yolo11x,GI,0.722,0.061,0.772,0.056,0.693,0.06,0.72,0.067,72.0,21,117,52.0,1,97
yolo11x,GI_AI5_AI10,0.797,0.006,0.823,0.008,0.745,0.006,0.744,0.013,104.6,89,117,84.6,69,97
yolo8x,AI10,0.762,0.017,0.803,0.021,0.745,0.04,0.777,0.044,47.5,22,73,27.5,2,53
yolo8x,AI5,0.828,0.006,0.851,0.024,0.708,0.01,0.648,0.01,103.5,64,143,83.5,44,123
yolo8x,GI,0.789,0.005,0.835,0.0,0.761,0.006,0.799,0.01,136.0,113,159,116.0,93,139
yolo8x,GI_AI5_AI10,0.789,0.001,0.824,0.003,0.749,0.013,0.755,0.016,47.0,28,66,38.5,31,46
yolov8x,AI10,0.774,0.018,0.813,0.02,0.753,0.027,0.784,0.031,69.667,22,97,49.667,2,77
yolov8x,AI5,0.793,0.019,0.804,0.031,0.694,0.012,0.651,0.023,71.333,21,103,61.667,19,96
yolov8x,GI,0.776,0.019,0.827,0.018,0.75,0.012,0.782,0.013,126.0,125,128,106.0,105,108
yolov8x,GI_AI5_AI10,0.79,0.004,0.82,0.008,0.726,0.008,0.726,0.006,83.333,65,96,63.333,45,76
