model,trained_on,validated_on,box_F1,box_P,box_R,box_AP50,mask_F1,mask_P,mask_R,mask_AP50
YOLOv8x-seg,GI,GI,0.7809820009764039,0.7440306517277371,0.8217954409594755,0.8318763798604228,0.7529295081383715,0.7187054952188046,0.7905759162303665,0.7939309722043287
YOLOv8x-seg,GI,AI5,0.661785211801858,0.7576381018363482,0.5874621952293588,0.6501649445137524,0.5522922881910113,0.6328412892340998,0.4899328859060403,0.470919230646821
YOLOv8x-seg,GI,AI10,0.171875,0.3384615384615385,0.11518324607329843,0.2194254003298281,0.15625,0.3076923076923077,0.10471204188481675,0.20342266797529956
YOLOv8x-seg,AI5,GI,0.65687314503749,0.7012210420578986,0.6178010471204188,0.6343707959084699,0.5964763314243431,0.6519001312185462,0.5497382198952879,0.5134454579303864
YOLOv8x-seg,AI5,AI5,0.8313843136583496,0.8417765057475599,0.821245587007833,0.8681981096418526,0.714806708321357,0.7324575228083328,0.697986577181208,0.6547703682998541
YOLOv8x-seg,AI5,AI10,0.5327346106007309,0.6754908391895212,0.4397905759162304,0.5536705226920707,0.4749035183337768,0.6007034013294915,0.39267015706806285,0.4783391604033465
YOLOv8x-seg,AI10,GI,0.585267736422698,0.6398482702248275,0.5392670157068062,0.5427744612658769,0.560765779559254,0.6182105602176532,0.5130890052356021,0.49618529623226854
YOLOv8x-seg,AI10,AI5,0.7005527639192276,0.7248262760490797,0.6778523489932886,0.6891630861188398,0.5657397453331559,0.5428844462060748,0.5906040268456376,0.5221739388041233
YOLOv8x-seg,AI10,AI10,0.7731361184711495,0.8105169219985842,0.739051289045992,0.817100568982391,0.7731428788192596,0.7989399817849243,0.7489596005105092,0.8078091247767202
YOLOv8x-seg,GI_AI5_AI10,GI,0.7533578109473047,0.7426320770343583,0.7643979057591623,0.800005980938309,0.7010227249748723,0.768815275654292,0.6442169946023152,0.7358400681482165
YOLOv8x-seg,GI_AI5_AI10,AI5,0.8114245977979729,0.8578801104140413,0.7697419031434277,0.8311333777772671,0.7144123986072035,0.7391520873064844,0.6912751677852349,0.6774406271354325
YOLOv8x-seg,GI_AI5_AI10,AI10,0.8141699903579624,0.8392156772966578,0.7905759162303665,0.8414509363055727,0.797450272289656,0.8670143509620896,0.7382198952879581,0.8097910665491765
YOLOv11x-seg,GI,GI,0.7868547056665551,0.8724940244289074,0.7165245147415705,0.8201216240677426,0.7671153338009243,0.8677995890854199,0.6873654891854859,0.7920707432061478
YOLOv11x-seg,GI,AI5,0.6284807450428773,0.6472849490484784,0.610738255033557,0.5937818326393539,0.5580864522692808,0.5975794137825229,0.5234899328859061,0.46411384759165647
YOLOv11x-seg,GI,AI10,0.15694164989939638,0.12745098039215685,0.20418848167539266,0.12224599620310846,0.1529175050301811,0.12418300653594772,0.19895287958115182,0.12066928422896883
YOLOv11x-seg,AI5,GI,0.6015043044300687,0.6579726065468237,0.5539623364727443,0.6200420619982613,0.5385130910503563,0.5870598535653635,0.4973821989528796,0.5215892454508397
YOLOv11x-seg,AI5,AI5,0.7157812601144877,0.6861002898211535,0.7481463683402262,0.761633934993297,0.5628385759811214,0.5432500278932737,0.5838926174496645,0.5434989725181405
YOLOv11x-seg,AI5,AI10,0.5806283232732308,0.5966495216743114,0.5654450261780105,0.5467676927779312,0.5461131970031177,0.5770502026468185,0.518324607329843,0.5097251942769283
YOLOv11x-seg,AI10,GI,0.5286183199137195,0.5511536820184124,0.5078534031413613,0.4902065128649676,0.5096377776700303,0.5302640434349809,0.4905560765209439,0.4503350863170862
YOLOv11x-seg,AI10,AI5,0.6600407461494858,0.6136032660197773,0.7140824916084682,0.6488754125916186,0.541802173592055,0.5053719642475992,0.5838926174496645,0.45393617850480944
YOLOv11x-seg,AI10,AI10,0.7586568901400188,0.7923069412365666,0.7277486910994765,0.8216723757480239,0.7422830004247666,0.7752067914257055,0.7120418848167539,0.8032641005898229
YOLOv11x-seg,GI_AI5_AI10,GI,0.7700116071528237,0.8439663735436045,0.7079735670121995,0.7921261638969398,0.7662050913037095,0.8524663806468668,0.6957971964582834,0.7833612527968943
YOLOv11x-seg,GI_AI5_AI10,AI5,0.8247449005940806,0.8668566108044085,0.7865351880570243,0.8393384458243578,0.6915284744831445,0.7265335032336366,0.6597415416959129,0.651331274084128
YOLOv11x-seg,GI_AI5_AI10,AI10,0.8161369628260609,0.8103671482134756,0.8219895287958116,0.8489237229585322,0.7948428643156268,0.8404549811386937,0.7539267015706806,0.8004082424106003
